reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
UMPK5,UMP kinase (dATP),Unknown,1.0254610980302557e-14,8.68247832632316,1.1810695742496787e-15,0.9999999999999988,LETHAL,optimal,1,51727_AT1,CMPK1,datp_c + ump_c <=> dadp_c + udp_c
MEVK1x,Mevalonate kinase (atp),Unknown,1.1963712810352981e-14,8.68247832632316,1.3779145032912915e-15,0.9999999999999987,LETHAL,optimal,1,4598_AT1,MVK,atp_x + mev__R_x --> 5pmev_x + adp_x + h_x
O2t,O2 transport  diffusion,Unknown,1.709101830050426e-14,8.68247832632316,1.968449290416131e-15,0.999999999999998,LETHAL,optimal,0,,,o2_e <=> o2_c
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),Unknown,2.3060404544135194e-14,8.68247832632316,2.6559702975844653e-15,0.9999999999999973,LETHAL,optimal,7,4830_AT1;4832_AT1;29922_AT2;4831_AT1;4830_AT2;29922_AT1;10201_AT1,NME1;NME3;NME7;NME2;NME1;NME7;NME6,atp_c + udp_c <=> adp_c + utp_c
IMPD,IMP dehydrogenase,Unknown,2.3927425620705963e-14,8.68247832632316,2.755829006582583e-15,0.9999999999999972,LETHAL,optimal,3,3615_AT1;3614_AT1;3614_AT2,IMPDH2;IMPDH1;IMPDH1,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
NADPHtru,"NADPH transporter, endoplasmic reticulum",Unknown,3.056797271378134e-14,8.68247832632316,3.5206506212755743e-15,0.9999999999999964,LETHAL,optimal,0,,,nadph_c --> nadph_r
ATPtx,"ATP transporter, peroxisomal",Unknown,3.2060269212901574e-14,8.68247832632316,3.69252510722689e-15,0.9999999999999963,LETHAL,optimal,0,,,atp_c <=> atp_x
3DSPHR,3 Dehydrosphinganine reductase,Unknown,4.164377212264893e-14,8.68247832632316,4.796300152733483e-15,0.9999999999999952,LETHAL,optimal,1,2531_AT1,KDSR,3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c
DPMVDx,Diphosphomevalonate decarboxylase,Unknown,4.61457494113615e-14,8.68247832632316,5.314813084123553e-15,0.9999999999999947,LETHAL,optimal,1,4597_AT1,MVD,5dpmev_x + atp_x --> adp_x + co2_x + ipdp_x + pi_x
ARTCOAL1,R group coenzyme a ligase,Unknown,6.152766588181534e-14,8.68247832632316,7.086417445498072e-15,0.9999999999999929,LETHAL,optimal,0,,,Rtotal_c + coa_c <=> Rtotalcoa_c
C14STRr,C-14 sterol reductase,Unknown,1.0596431346312641e-13,8.68247832632316,1.2204385600580012e-14,0.9999999999999878,LETHAL,optimal,1,7108_AT1,TM7SF2,44mctr_r + h_r + nadph_r --> 44mzym_r + nadp_r
HMGCOAS,Hydroxymethylglutaryl CoA synthase,Unknown,1.2305533176363068e-13,8.68247832632316,1.4172834890996144e-14,0.9999999999999858,LETHAL,optimal,2,3157_AT1;3157_AT2,HMGCS1;HMGCS1,coa_c + h_c + hmgcoa_c <-- aacoa_c + accoa_c + h2o_c
GMPS2,GMP synthase,Unknown,5.947674368575483e-13,8.68247832632316,6.850203530648135e-14,0.9999999999999315,LETHAL,optimal,1,8833_AT1,GMPS,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,Unknown,0.22404383459460717,8.68247832632316,0.025804134047229442,0.9741958659527705,SIGNIFICANT,optimal,1,64841_AT1,GNPNAT1,accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c
GF6PTA,Glutamine-fructose-6-phosphate transaminase,Unknown,0.8369939481081076,8.68247832632316,0.09640034983681396,0.903599650163186,SIGNIFICANT,optimal,2,9945_AT1;2673_AT1,GFPT2;GFPT1,f6p_c + gln__L_c --> gam6p_c + glu__L_c
AHCi,Adenosylhomocysteinase,Unknown,0.9642908983227054,8.68247832632316,0.11106171096324079,0.8889382890367592,SIGNIFICANT,optimal,3,10768_AT2;191_AT1;10768_AT1,AHCYL1;AHCY;AHCYL1,ahcys_c + h2o_c <=> adn_c + hcys__L_c
METAT,Methionine adenosyltransferase,Unknown,0.9642908983227813,8.68247832632316,0.11106171096324952,0.8889382890367505,SIGNIFICANT,optimal,4,27430_AT2;4143_AT1;27430_AT1;4144_AT1,MAT2B;MAT1A;MAT2B;MAT2A,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c
DRBK,Deoxyribokinase,Unknown,8.682478326322542,8.68247832632316,0.9999999999999288,7.116529587847253e-14,MINIMAL,optimal,1,64080_AT1,RBKS,atp_c + drib_c --> 2dr5p_c + adp_c + h_c
XOL7AH2tm,"Lipid, flip-flop intracellular transport",Unknown,8.682478326322556,8.68247832632316,0.9999999999999304,6.961098364399732e-14,MINIMAL,optimal,0,,,xol7ah2_c <=> xol7ah2_m
IDPtn,IDP nuclear transport,Unknown,8.682478326323043,8.68247832632316,0.9999999999999865,1.354472090042691e-14,MINIMAL,optimal,0,,,idp_c <=> idp_n
CHTNASEe,"Chitinase, extracellular",Unknown,8.682478326323103,8.68247832632316,0.9999999999999934,6.5503158452884236e-15,MINIMAL,optimal,1,27159_AT2,CHIA,chtn_e + 2.0 h2o_e --> 3.0 acgam_e
PROt2r,L proline reversible transport via proton symport,Unknown,8.682478326323132,8.68247832632316,0.9999999999999968,3.219646771412954e-15,MINIMAL,optimal,1,206358_AT1,SLC36A1,h_e + pro__L_e <=> h_c + pro__L_c
ALAR,Alanine racemase,Unknown,8.682478326323137,8.68247832632316,0.9999999999999973,2.6645352591003757e-15,MINIMAL,optimal,1,11212_AT1,PROSC,ala__L_c <=> ala__D_c
ADEt,Adenine transport via diffusion,Unknown,8.682478326323139,8.68247832632316,0.9999999999999976,2.4424906541753444e-15,MINIMAL,optimal,1,3177_AT1,SLC29A2,ade_e <=> ade_c
UDPG4E,UDPglucose 4-epimerase,Unknown,8.682478326323157,8.68247832632316,0.9999999999999996,4.440892098500626e-16,MINIMAL,optimal,2,2582_AT2;2582_AT1,GALE;GALE,udpg_c <=> udpgal_c
NADS2,Nicotinate-mononucleotide adenylyltransferase,Unknown,8.682478326323158,8.68247832632316,0.9999999999999998,2.220446049250313e-16,MINIMAL,optimal,1,55191_AT1,NADSYN1,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + h_c + nad_c + ppi_c
BILGLCURt,Bilirubin monoglucuronide transport via bicarbonate countertransport,Unknown,8.68247832632316,8.68247832632316,1.0,0.0,MINIMAL,optimal,2,28234_AT1;10599_AT1,SLCO1B3;SLCO1B1,bilglcur_e + hco3_c <=> bilglcur_c + hco3_e
CRNt_copy2,L carnitine reversible transport,Unknown,8.68247832632316,8.68247832632316,1.0,0.0,MINIMAL,optimal,1,6583_AT1,SLC22A4,crn_e --> crn_c
O2tm,O2 transport  diffusion,Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,0,,,o2_c <=> o2_m
ACNAM9PL,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,1,54187_AT1,NANS,acmanap_c + h2o_c + pep_c --> acnamp_c + pi_c
PGCD,Phosphoglycerate dehydrogenase,Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,1,26227_AT1,PHGDH,3pg_c + nad_c --> 3php_c + h_c + nadh_c
HAS1,Hyaluronan synthase,Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,4,3038_AT1;3038_AT2;3037_AT1;3036_AT1,HAS3;HAS3;HAS2;HAS1,uacgam_c + udpglcur_c --> 2.0 h_c + ha_pre1_e + 2.0 udp_c
PLA2_2,Phospholipase A2,Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,3,8398_AT1;8398_AT2;5320_AT1,PLA2G6;PLA2G6;PLA2G2A,h2o_c + pchol_hs_c --> Rtotal2_c + h_c + lpchol_hs_c
C4STMO2Pr,C-4 methyl sterol oxidase,Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,1,50814_AT1,NSDHL,4mzym_int2_r + nadp_r + o2_r --> co2_r + h_r + nadph_r + zym_int2_r
METLEUex,Methionine/Leucine exchange (Met in),Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,2,6520_AT1;8140_AT1,SLC3A2;SLC7A5,leu__L_c + met__L_e --> leu__L_e + met__L_c
COAtim,CoA transporter  mitochondrial   irreversible,Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,1,8034_AT1,SLC25A16,coa_c <=> coa_m
THP2Ctp,"2,3,4,5-Tetrahydropyridine-2-carboxylate transport, peroxisomal",Unknown,8.682478326323166,8.68247832632316,1.0000000000000007,-6.661338147750939e-16,MINIMAL,optimal,0,,,thp2c_c <=> thp2c_x
INOSTO,Myo-Inositol:oxygen oxidoreductase,Unknown,8.682478326323167,8.68247832632316,1.0000000000000009,-8.881784197001252e-16,MINIMAL,optimal,1,55586_AT1,MIOX,inost_c + o2_c --> glcur_c + h2o_c + h_c
PYRt2m,Pyruvate mitochondrial transport via proton symport,Unknown,8.682478326323167,8.68247832632316,1.0000000000000009,-8.881784197001252e-16,MINIMAL,optimal,1,6566_AT1,SLC16A1,h_c + pyr_c <=> h_m + pyr_m
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,Unknown,8.682478326323167,8.68247832632316,1.0000000000000009,-8.881784197001252e-16,MINIMAL,optimal,0,,,acgam_l --> acgam_c
FADH2tx,"FADH2 transport, glyoxysome",Unknown,8.682478326323169,8.68247832632316,1.000000000000001,-1.1102230246251565e-15,MINIMAL,optimal,0,,,fadh2_c <=> fadh2_x
HAS2,Hyaluronan synthase,Unknown,8.682478326323169,8.68247832632316,1.000000000000001,-1.1102230246251565e-15,MINIMAL,optimal,4,3038_AT1;3038_AT2;3037_AT1;3036_AT1,HAS3;HAS3;HAS2;HAS1,ha_pre1_e + uacgam_c + udpglcur_c --> 2.0 h_c + ha_e + 2.0 udp_c
4PYRDX,4-Pyridoxal secretion,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,4pyrdx_c + atp_c + h2o_c --> 4pyrdx_e + adp_c + h_c + pi_c
5ADTSTSTERONEGLCte,Glucuronidated compound transport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,4363_AT1,ABCC1,5adtststeroneglc_c + atp_c + h2o_c --> 5adtststeroneglc_e + adp_c + h_c + pi_c
DALAOXx,D-Alanine Oxidase (x),Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,1610_AT1,DAO,ala__D_x + h2o_x + o2_x --> h2o2_x + nh4_x + pyr_x
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,3hibutcoa_m + h2o_m --> 3hmp_m + coa_m + h_m
5ADTSTSTERONEGLCtr,Glucuronidated compound transport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,5adtststeroneglc_c <=> 5adtststeroneglc_r
5AOPtm,5 Aminolevulinate mitochondrial transport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,5aop_c <=> 5aop_m
3HCO3_NAt,Bicarbonate transport (Na/HCO3 1:3 cotransport),Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,5,57835_AT2;57835_AT3;57835_AT1;8671_AT1;57835_AT4,SLC4A5;SLC4A5;SLC4A5;SLC4A4;SLC4A5,3.0 hco3_e + na1_e <=> 3.0 hco3_c + na1_c
5FTHFt2,5-formyltetrahydrofolate transport via anion exchange,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,6573_AT1;6573_AT2,SLC19A1;SLC19A1,5fthf_e + oh1_c <=> 5fthf_c + oh1_e
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,1644_AT1,DDC,5htrp_c + h_c --> co2_c + srtn_c
3SALAASPm,Cysteinesulfinate-aspartate mitochondrial shuttle,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,8604_AT1;10165_AT1,SLC25A12;SLC25A13,3sala_m + asp__L_c <=> 3sala_c + asp__L_m
5HOMEPRAZOLEte,Xenobiotic transport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,5homeprazole_e <=> 5homeprazole_c
DALAt2r,D-alanine transport via proton symport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,206358_AT1,SLC36A1,ala__D_e + h_e <=> ala__D_c + h_c
DALAxt,D-Alanine transport to perixosome,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,ala__D_c --> ala__D_x
DASCBR,Dehydroascorbate reductase,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,3,2745_AT1;51022_AT1;51022_AT2,GLRX;GLRX2;GLRX2,dhdascb_c + h_c + nadph_c --> ascb__L_c + nadp_c
5HTRPVESSEC,5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven),Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,6570_AT1;6571_AT1,SLC18A1;SLC18A2,3.0 5htrp_c + 2.0 atp_c + 2.0 h2o_c --> 3.0 5htrp_e + 2.0 adp_c + 2.0 h_c + 2.0 pi_c
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,1644_AT1,DDC,34dhphe_c + h_c --> co2_c + dopa_c
5MTHFt,5-Methyltetrahydrofolate transport via receptor binding and protolysis,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,8,2348_AT5;2348_AT1;2351_AT1;2352_AT1;2348_AT2;2348_AT6;2348_AT3;2348_AT4,FOLR1;FOLR1;2351_AT1;FOLR3;FOLR1;FOLR1;FOLR1;FOLR1,5mthf_e <=> 5mthf_c
5MTHFt2,5-methyltetrahydrofolate transport via anion exchange,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,2,6573_AT1;6573_AT2,SLC19A1;SLC19A1,5mthf_e + oh1_c <=> 5mthf_c + oh1_e
ABUTD,Aminobutyraldehyde dehydrogenase,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,223_AT1,ALDH9A1,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,206358_AT1,SLC36A1,4abut_e + h_e <=> 4abut_c + h_c
3MLDAt,3MLDA extracellular transport via diffusion,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,3mlda_c <=> 3mlda_e
7DHCHSTEROLtr,Cholesterol precursor intracellular transport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,7dhchsterol_r <=> 7dhchsterol_c
3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,3mob_c + h_c --> 3mob_m + h_m
7DHFtl,"7-glutamyl-DHF transport, lysosomal",Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,7dhf_c --> 7dhf_l
7DHFtm,"7-glutamyl-DHF transport,m mitochondrial",Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,7dhf_m --> 7dhf_c
ACACT1r_copy1,Acetyl-CoA C-acetyltransferase,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,1,39_AT1,ACAT2,2.0 accoa_c --> aacoa_c + coa_c
10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial",Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,10fthf7glu_m --> 10fthf7glu_c
10FTHFtl,10-Formyltetrahydrofolate lysosomal transport via diffusion,Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,10fthf_c <=> 10fthf_l
7THFtm,"7-glutamyl-THF transport,m mitochondrial",Unknown,8.68247832632317,8.68247832632316,1.0000000000000013,-1.3322676295501878e-15,MINIMAL,optimal,0,,,7thf_m --> 7thf_c
