reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_genes,gene_ids,gene_names,equation
HMR_2063,Peroxidase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,5,7173.1;8288.1;9588.1;4025.1;4353.1,G_7173__46__1;G_8288__46__1;G_9588__46__1;G_4025__46__1;G_4353__46__1,C05298[r] + h2o2[r] <=> CE5256[r] + 2.0 h2o[r]
HMR_2065,HMR_2065,"Transport, mitochondrial",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,CE5252[c] <=> CE5252[m]
HMR_2066,HMR_2066,"Transport, endoplasmic reticular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,CE5252[c] <=> CE5252[r]
HMR_2067,HMR_2067,"Transport, peroxisomal",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,CE5252[c] <=> CE5252[x]
HMR_2076,Peroxidase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,5,7173.1;8288.1;9588.1;4025.1;4353.1,G_7173__46__1;G_8288__46__1;G_9588__46__1;G_4025__46__1;G_4353__46__1,CE2180[c] + h2o2[c] <=> CE5255[c] + 2.0 h2o[c]
HMR_2078,Peroxidase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,5,7173.1;8288.1;9588.1;4025.1;4353.1,G_7173__46__1;G_8288__46__1;G_9588__46__1;G_4025__46__1;G_4353__46__1,CE2180[r] + h2o2[r] <=> CE5255[r] + 2.0 h2o[r]
HMR_2080,HMR_2080,"Transport, mitochondrial",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,CE5251[c] <=> CE5251[m]
HMR_2081,HMR_2081,"Transport, endoplasmic reticular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,CE5251[c] <=> CE5251[r]
HMR_2082,HMR_2082,"Transport, peroxisomal",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,CE5251[c] <=> CE5251[x]
HMR_2087,HMR_2087,"Transport, lysosomal",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,0,,,hestratriol[c] <=> hestratriol[l]
HMR_2089,Peroxidase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,5,7173.1;8288.1;9588.1;4025.1;4353.1,G_7173__46__1;G_8288__46__1;G_9588__46__1;G_4025__46__1;G_4353__46__1,CE5253[l] + 2.0 h2o[l] <=> h2o2[l] + hestratriol[l]
HMR_1479,Sterol 14Alpha-Demethylase,Cholesterol metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,1595.1,G_1595__46__1,M00937[c] + nadph[c] + o2[c] --> 44mctr[c] + for[c] + h2o[c] + nadp[c]
HMR_1967,3Beta-Hydroxy-Delta5-Steroid Dehydrogenase,Androgen and estrogen synthesis and metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,2,3284.1;3283.1,G_3284__46__1;G_3283__46__1,dhea[c] + nad[c] --> M01075[c] + h[c] + nadh[c]
HMR_1477,Sterol 14Alpha-Demethylase,Cholesterol metabolism,0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,1595.1,G_1595__46__1,h[c] + lanost[c] + nadph[c] + o2[c] --> M00939[c] + h2o[c] + nadp[c]
r1924,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,gln_L[e] + na1[e] + orn[c] --> gln_L[c] + na1[c] + orn[e]
r1923,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,arg_L[c] + gln_L[e] + na1[e] --> arg_L[e] + gln_L[c] + na1[c]
r1922,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,gln_L[e] + lys_L[c] + na1[e] --> gln_L[c] + lys_L[e] + na1[c]
r1921,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ala_L[e] + citr_L[c] + na1[e] --> ala_L[c] + citr_L[e] + na1[c]
r1920,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ala_L[e] + his_L[c] + na1[e] --> ala_L[c] + his_L[e] + na1[c]
r1919,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ala_L[e] + na1[e] + orn[c] --> ala_L[c] + na1[c] + orn[e]
r1918,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ala_L[e] + arg_L[c] + na1[e] --> ala_L[c] + arg_L[e] + na1[c]
