gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
6783_AT1,SULT1E1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DHEASULT;ESTSULT
125965_AT1,COX6B2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
8560_AT1,DEGS1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DHCRD1;DHCRD2
341947_AT1,COX8C,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
1723_AT1,DHODH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,DHORD9
10840_AT1,ALDH1L1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,FDH;FTHFDH
2235_AT2,FECH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,FCLTm
1329_AT1,COX5B,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
1347_AT1,COX7A2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
2235_AT1,FECH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,FCLTm
1337_AT1,COX6A1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
6515_AT1,SLC2A3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,5,DHAAt1r;MALTt1r;GALt1r;MANt1r;GLCt1
5209_AT1,PFKFB3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,PFK26;FBP26
6517_AT1,SLC2A4,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,GAMt1r;DHAAt1r;GLCt1
8560_AT2,DEGS1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DHCRD1;DHCRD2
1350_AT1,COX7C,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYOOm3
84264_AT1,HAGHL,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GLYOX
6536_AT1,SLC6A9,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GLYt7_211_r
2678_AT3,GGT1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTMLTe
151531_AT1,UPP2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DURIPP;PYNP2r
4860_AT1,PNP,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,10,PUNP7;PNP;PUNP6;PUNP4;PUNP1;PUNP3;PUNP5;PUNP2;DURIPP;NP1
7083_AT1,TK1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DURIK1;TMDK1
7084_AT1,TK2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,4,DURIK1m;DURIK1;TMDK1m;TMDK1
1806_AT1,DPYD,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,DURAD;DURAD2
1841_AT1,DTYMK,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,DTMPK;NDP8;URIDK2m
