reaction_id,reaction_name,subsystem,host_flux,host_baseline,host_growth_pct,host_status,num_genes,gene_ids,gene_names,equation,virus_flux,virus_baseline,virus_growth_pct,virus_status,selectivity_score,target_class
DAGK_hs,Diacylglycerol phosphate kinase (homo sapiens),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,14,160851_AT2;160851_AT1;8525_AT3;1607_AT1;1606_AT1;1609_AT1;8525_AT2;8525_AT1;1608_AT1;9162_AT1,DGKH;DGKH;DGKZ;DGKB;DGKA;DGKQ;DGKZ;DGKZ;DGKG;DGKI,atp_c + dag_hs_c <=> adp_c + h_c + pa_hs_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
4NPHte,Xenobiotic transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,4nph_e <=> 4nph_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
4PYRDX,4-Pyridoxal secretion,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,4pyrdx_c + atp_c + h2o_c --> 4pyrdx_e + adp_c + h_c + pi_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
DALAOXx,D-Alanine Oxidase (x),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,1610_AT1,DAO,ala__D_x + h2o_x + o2_x --> h2o2_x + nh4_x + pyr_x,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
1PPDCRp,"Delta1-piperideine-2-carboxylate reductase, perixosomal",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,1pipdn2c_x + h_x + nadh_x --> Lpipecol_x + nad_x,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,3242_AT1,HPD,34hpp_c + o2_c --> co2_c + hgentis_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,4128_AT1;4129_AT1,MAOA;MAOB,h2o_c + nrpphr_c + o2_c --> 34dhmald_c + h2o2_c + nh4_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
5ADTSTSTERONEGLCtr,Glucuronidated compound transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,5adtststeroneglc_c <=> 5adtststeroneglc_r,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
CYTK4,Cytidylate kinase (dCMP)(GTP),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,26289_AT1;26289_AT2,AK5;AK5,dcmp_c + gtp_c <=> dcdp_c + gdp_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,25hvitd2_c --> 25hvitd2_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,3snpyr_c + h2o_c --> h_c + pyr_c + so3_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial",Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,3snpyr_m + h2o_m --> h_m + pyr_m + so3_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2AMACHYD,2-Aminoacrylate hydrolysis,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,10993_AT1,SDS,2amac_c + h2o_c --> nh4_c + pyr_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,1,89874_AT1,SLC25A21,L2aadp_c + akg_m <=> L2aadp_m + akg_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2DR1PP,2-deoxy-D-ribose 1-phosphate phosphorylase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,2dr1p_c + h2o_c --> drib_c + pi_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
2HBO,2 HydroxybutyrateNAD oxidoreductase,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,7,3945_AT1;3948_AT1;55293_AT1;160287_AT1;3939_AT1;3948_AT2;92483_AT1,LDHB;LDHC;UEVLD;LDHAL6A;LDHA;LDHC;LDHAL6B,2hb_c + nad_c <=> 2obut_c + h_c + nadh_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
1MNCAMti,N1-Methylnicotinamide transport,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,0,,,1mncam_c + atp_c + h2o_c --> 1mncam_e + adp_c + h_c + pi_c,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
3SALAASPm,Cysteinesulfinate-aspartate mitochondrial shuttle,Unknown,0.23437252228949343,0.23437252228949343,100.0,MINIMAL,2,8604_AT1;10165_AT1,SLC25A12;SLC25A13,3sala_m + asp__L_c <=> 3sala_c + asp__L_m,0.2814317775193228,0.2814317775193228,100.0,MINIMAL,0.0,NOT_A_TARGET
