reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
RXN_45_19302,RXN-19302,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_20829_c <=> CPD_45_20833_c + gmp_c + h_c
RXN_45_19296,RXN-19296,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,6,G66_33077;G66_31102;G66_30765;G66_33850;HS16133;HS13633,CBWD5;CBWD7;CBWD3;CBWD6;CBWD1;CBWD2,ADENOSYLCOBINAMIDE_45_GDP_c + CPD_45_15539_c <=> CPD_45_20827_c + gmp_c + h_c
RXN_45_12551,RXN-12551,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,3,HS06733;HS13010;HS06003,RLBP1;RDH10;RDH5,11C_45_Retinol_45_RALBPs_c + nad_c <=> 11C_45_Retinal_45_RALBPs_c + h_c + nadh_c
RXN_45_16114,RXN-16114,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS01909,TECR,CPD_45_17368_c + NADPH_c + h_c <=> CPD_45_17323_c + nadp_c
RXN_45_11702,RXN-11702,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,2,HS08006;HS08338,ADAMTS5;ADAMTS4,Aggrecan_c + WATER_c <=> Aggrecan_45_Cleavage_45_products_c
AGMATIN_45_RXN,AGMATIN-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS04051,AGMAT,AGMATHINE_m + WATER_m + agm_m <=> UREA_m + 2.0 ptrc_m + urea_m
RXN_45_19041,RXN-19041,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,2,HS05902;HS08544,CYP2J2;CYP3A4,ALBENDAZOLE_c + OXYGEN_45_MOLECULE_c + Red_45_NADPH_45_Hemoprotein_45_Reductases_c <=> ALBENDAZOLE_45_S_45_OXIDE_c + Ox_45_NADPH_45_Hemoprotein_45_Reductases_c + WATER_c
RXN_45_19052,RXN-19052,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS05902,CYP2J2,ALBENDAZOLE_c + OXYGEN_45_MOLECULE_c + Red_45_NADPH_45_Hemoprotein_45_Reductases_c <=> CPD_45_20523_c + Ox_45_NADPH_45_Hemoprotein_45_Reductases_c + WATER_c
RXN_45_9230,RXN-9230,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,2,HS10617;HS04454,COQ2;UBIAD1,4_45_hydroxybenzoate_c + CPD_45_9610_c <=> CPD_45_9864_c + ppi_c
RXN_45_9222,RXN-9222,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS10617,COQ2,4_45_hydroxybenzoate_c + ALL_45_TRANS_45_HEPTAPRENYL_45_DIPHOSPHATE_c <=> CPD_45_9852_c + ppi_c
RXN_45_9003,RXN-9003,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS10617,COQ2,4_45_hydroxybenzoate_c + ALL_45_TRANS_45_HEXAPRENYL_45_DIPHOSPHATE_c <=> 3_45_HEXAPRENYL_45_4_45_HYDROXYBENZOATE_c + ppi_c
4OHBENZOATE_45_OCTAPRENYLTRANSFER_45_RXN,4OHBENZOATE-OCTAPRENYLTRANSFER-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS10617,COQ2,4_45_hydroxybenzoate_c + OCTAPRENYL_45_DIPHOSPHATE_c <=> 3_45_OCTAPRENYL_45_4_45_HYDROXYBENZOATE_c + ppi_c
